Strategy,n,Mean,SD,Median,IQR,95% CI,p (Holm),Cliff δ,Note
Blue-Green,10,22002.9,10226.166,18432.0,"[16630.5, 22197.5]","[16599.0, 22816.0]",reference,reference,
Rolling Update,10,23109.6,8169.302,18498.0,"[17738.25, 25996.75]","[17680.0, 27220.0]",0.2730,-0.300 (small),
Canary,10,21936.5,1253.014,22307.5,"[21659.25, 22565.25]","[21036.0, 22706.0]",0.2809,-0.400 (medium),
Recreate (control),10,13521.5,680.053,13313.5,"[13103.75, 13774.25]","[13006.5, 14000.5]",0.0005 *,1.000 (large),
