Strategy,n,Mean,SD,Median,IQR,95% CI,p (Holm),Cliff δ,Note
Blue-Green,10,6028.9,1410.521,5569.5,"[5490.0, 5847.25]","[5467.0, 5912.0]",reference,reference,
Rolling Update,10,455.1,68.643,463.0,"[405.75, 488.5]","[394.0, 504.0]",0.0005 *,1.000 (large),
Canary,10,30112.0,1114.585,29702.5,"[29234.25, 30714.5]","[29215.0, 30879.5]",0.0004 *,-1.000 (large),
Recreate (control),10,628.5,58.805,610.5,"[587.25, 681.5]","[578.0, 692.0]",0.0002 *,1.000 (large),
