Strategy,n,Mean,SD,Median,IQR,95% CI,p (Holm),Cliff δ,Note
Blue-Green,10,256.206,650.547,10.751,"[6.877, 58.623]","[6.563, 177.767]",reference,reference,
Rolling Update,10,155.309,368.884,38.303,"[23.499, 61.599]","[21.059, 68.287]",0.2424,-0.420 (medium),
Canary,10,30.706,33.821,10.111,"[7.642, 46.891]","[7.379, 56.263]",0.9097,-0.040 (negligible),
Recreate (control),10,4535.295,6738.067,2127.871,"[2025.983, 3036.671]","[2020.863, 3297.279]",0.0023 *,-0.900 (large),
