timestamp_us,status
4168180000,200
4168189999,200
4168979999,200
4168990000,200
4169779999,200
4169790000,200
4170580000,200
4170590000,200
4171390000,200
4171390000,200
4172189999,200
4172189999,200
4172990000,200
4172990000,200
4173779999,200
4173790000,200
4174590000,200
4174590000,200
4175380000,200
4175390000,200
4176180000,200
4176189999,200
4176979999,200
4176990000,200
4177779999,200
4177790000,200
4178580000,200
4178590000,200
4179390000,200
4179390000,200
4180180000,200
4180189999,200
4180979999,200
4180990000,200
4181779999,200
4181790000,200
4182580000,200
4182590000,200
4183380000,200
4183390000,200
4184189999,200
4184189999,200
4184979999,200
4184990000,200
4185779999,200
4185790000,200
4186580000,200
4186590000,200
4187390000,200
4187390000,200
4188189999,200
4188189999,200
4188979999,200
4188990000,200
4189779999,200
4189790000,200
4190580000,200
4190590000,200
4191390000,200
4191390000,200
4192189999,200
4192189999,200
4192979999,200
4192990000,200
4193779999,200
4193790000,200
4194580000,200
4194590000,200
4195380000,200
4195390000,200
4196180000,200
4196189999,200
4196979999,200
4196990000,200
4197779999,200
4197790000,200
4198580000,200
4198590000,200
4199380000,200
4199390000,200
4200180000,200
4200189999,200
4200979999,200
4200990000,200
4201790000,200
4201790000,200
4202580000,200
4202590000,200
4203380000,200
4203390000,200
4204189999,200
4204189999,200
4204979999,200
4204990000,200
4205779999,200
4205790000,200
4206580000,200
4206590000,200
4207380000,200
4207390000,200
4208180000,200
4208189999,200
4208979999,200
4208990000,200
4209779999,200
4209790000,200
4210580000,200
4210600000,200
4211390000,200
4211390000,200
4212180000,200
4212189999,200
4212979999,200
4212990000,200
4213779999,200
4213790000,200
4214580000,200
4214590000,200
4215380000,200
4215390000,200
4216180000,502
4216189999,200
4216990000,200
4216990000,200
4217850000,200
4217859999,200
4218590000,200
4218590000,200
4219390000,200
4219399999,502
4220180000,200
4220189999,200
4220979999,200
4220990000,200
4221779999,200
4221790000,200
4222580000,200
4222590000,200
4223390000,200
4223390000,200
4224180000,200
4224189999,200
4224979999,200
4224990000,200
4225779999,200
4225790000,200
4226580000,200
4226590000,200
4227380000,200
4227390000,200
4228189999,200
4228189999,200
4228979999,200
4228990000,200
4229790000,200
4229790000,200
4230590000,200
4230590000,200
4231390000,200
4231390000,200
4232189999,200
4232189999,200
4232990000,200
4232990000,200
4233779999,200
4233790000,200
4234580000,200
4234590000,200
4235380000,200
4235390000,200
4236189999,200
4236189999,200
4236990000,200
4236990000,200
4237779999,200
4237790000,200
4238580000,200
4238590000,200
4239380000,200
4239390000,200
4240189999,200
4240189999,200
4240990000,200
4240990000,200
4241779999,200
4241790000,200
4242580000,200
4242590000,200
4243380000,200
4243390000,200
4244180000,200
4244189999,200
4244979999,200
4244990000,200
4245790000,200
4245790000,200
4246580000,200
4246590000,200
4247380000,200
4247390000,200
4248180000,200
4248189999,200
4248990000,200
4248990000,200
4249779999,200
4249790000,200
4250590000,200
4250590000,200
4251380000,200
4251390000,200
4252189999,200
4252189999,200
4252979999,200
4252990000,200
4253779999,200
4253790000,200
4254580000,200
4254590000,200
4255390000,200
4255390000,200
4256189999,200
4256189999,200
4256990000,200
4256990000,200
4257779999,200
4257790000,200
4258590000,200
4258590000,200
4259380000,200
4259390000,200
4260180000,200
4260189999,200
4260979999,200
4260990000,200
4261790000,200
4261790000,200
4262590000,200
4262590000,200
4263390000,200
4263390000,200
4264189999,200
4264189999,200
4264979999,200
4264990000,200
4265790000,200
4265790000,200
4266580000,200
4266590000,200
4267390000,200
4267390000,200
4268180000,200
4268189999,200
4268979999,200
4268990000,200
4269779999,200
4269790000,200
4270590000,200
4270590000,200
4271390000,200
4271390000,200
4272180000,200
4272189999,200
4272979999,200
4272990000,200
4273790000,200
4273790000,200
4274590000,200
4274590000,200
4275380000,200
4275390000,200
4276180000,200
4276189999,200
4276990000,200
4276990000,200
4277779999,200
4277790000,200
4278580000,200
4278590000,200
4279390000,200
4279390000,200
4280180000,200
4280189999,200
4280990000,200
4280990000,200
4281779999,200
4281790000,200
4282580000,200
4282590000,200
4283390000,200
4283390000,200
4284180000,200
4284189999,200
4284990000,200
4284990000,200
4285779999,200
4285790000,200
4286580000,200
4286590000,200
4287390000,200
4287390000,200
4288189999,200
