timestamp_us,status
6017570000,200
6017580000,200
6018370000,200
6018380000,200
6019170000,200
6019180000,200
6019970000,200
6019980000,200
6020770000,200
6020780000,200
6021570000,200
6021580000,200
6022370000,200
6022380000,200
6023170000,200
6023180000,200
6023970000,200
6024070000,200
6024770000,200
6024780000,200
6025570000,200
6025580000,200
6026370000,200
6026380000,200
6027170000,200
6027180000,200
6027970000,200
6027980000,200
6028770000,200
6028780000,200
6029570000,200
6029580000,200
6030370000,200
6030380000,200
6031170000,200
6031180000,200
6031970000,200
6031980000,200
6032770000,200
6032780000,200
6033570000,200
6033580000,200
6034370000,200
6034380000,200
6035170000,200
6035180000,200
6035970000,200
6035980000,200
6036780000,200
6036780000,200
6037580000,200
6037580000,200
6038370000,200
6038380000,200
6039170000,200
6039180000,200
6039970000,200
6039980000,200
6040770000,200
6040780000,200
6041570000,200
6041580000,200
6042370000,200
6042380000,200
6043170000,200
6043180000,200
6043970000,200
6043980000,200
6044770000,200
6044780000,200
6045570000,200
6045580000,200
6046370000,200
6046380000,200
6047180000,200
6047180000,200
6047970000,200
6047980000,200
6048770000,200
6048780000,200
6049570000,200
6049580000,200
6050370000,200
6050380000,200
6051170000,200
6051180000,200
6051970000,200
6052070000,200
6052770000,200
6052780000,200
6053580000,200
6053670000,200
6054380000,200
6054390000,200
6055170000,200
6055180000,200
6055970000,200
6055980000,200
6056770000,200
6056780000,200
6057580000,200
6057580000,200
6058370000,200
6058380000,200
6059170000,200
6059180000,200
6059970000,200
6059980000,200
6060770000,200
6060780000,200
6061570000,200
6061580000,200
