timestamp_us,status
3466910000,200
3466910000,200
3467710000,200
3467720000,200
3468510000,200
3468520000,200
3469310000,200
3469320000,200
3470110000,200
3470120000,200
3470910000,200
3470920000,200
3471710000,200
3471710000,200
3472510000,200
3472520000,200
3473310000,200
3473320000,200
3474110000,200
3474120000,200
3474910000,200
3474910000,200
3475710000,200
3475710000,200
3476510000,200
3476520000,200
3477320000,200
3477320000,200
3478110000,200
3478120000,200
3478910000,200
3478920000,200
3479710000,200
3479720000,200
3480510000,200
3480520000,200
3481310000,200
3481320000,200
3482110000,200
3482120000,200
3482910000,200
3482910000,200
3483710000,200
3483720000,200
3484510000,200
3484520000,200
3485310000,200
3485320000,200
3486110000,200
3486120000,200
3486910000,200
3486910000,200
3487710000,200
3487710000,200
3488510000,200
3488520000,200
3489310000,200
3489320000,200
3490110000,200
3490120000,200
3490910000,200
3490910000,200
3491710000,200
3491720000,200
3492510000,200
3492520000,200
3493310000,200
3493320000,200
3494110000,200
3494110000,200
3494910000,200
3494920000,200
3495710000,200
3495720000,200
3496510000,200
3496520000,200
3497310000,200
3497320000,200
3498110000,200
3498120000,200
3498910000,200
3498920000,200
3499710000,200
3499710000,200
3500510000,200
3500510000,200
3501320000,200
3501320000,200
3502110000,200
3502120000,200
3502920000,200
3502920000,200
3503710000,200
3503720000,200
3504510000,200
3504520000,200
3505310000,200
3505320000,200
3506110000,200
3506120000,200
3506910000,200
3506920000,200
3507710000,502
3507710000,502
3508540000,502
3508540000,502
3509310000,502
3511320000,504
3512110000,504
3513160000,502
3513320000,504
3515160000,504
3515320000,504
3516170000,200
3516170000,200
3516170000,200
3516360000,200
3516360000,200
3516360000,200
3516370000,200
3516370000,200
3516370000,200
3516520000,200
3516620000,200
3516620000,200
3516620000,200
3517310000,200
3517320000,200
3518110000,200
3518120000,200
3518910000,200
3518910000,200
3519710000,200
3519720000,200
3520510000,200
3520520000,200
3521310000,200
3521310000,200
3522110000,200
3522120000,200
3522910000,200
3522920000,200
3523710000,200
3523720000,200
3524510000,200
3524520000,200
3525320000,200
3525320000,200
3526110000,200
3526120000,200
3526910000,200
3526920000,200
3527710000,200
3527720000,200
3528510000,200
3528520000,200
3529310000,200
3529320000,200
3530110000,200
3530120000,200
3530910000,200
3530920000,200
3531710000,200
3531720000,200
3532510000,200
3532520000,200
3533310000,200
3533310000,200
3534110000,200
3534110000,200
3534910000,200
3534920000,200
3535710000,200
3535720000,200
3536510000,200
3536520000,200
3537310000,200
3537320000,200
3538110000,200
3538120000,200
3538910000,200
3538920000,200
3539710000,200
3539710000,200
3540510000,200
3540520000,200
3541310000,200
3541320000,200
3542110000,200
3542120000,200
3542910000,200
3542920000,200
3543710000,200
3543720000,200
3544510000,200
3544510000,200
3545310000,200
3545310000,200
3546110000,200
3546110000,200
3546910000,200
3546920000,200
3547710000,200
3547720000,200
3548520000,200
3548520000,200
3549310000,200
3549310000,200
3550110000,200
3550120000,200
3550910000,200
3550920000,200
3551710000,200
3551720000,200
3552510000,200
3552520000,200
3553310000,200
3553320000,200
3554110000,200
3554120000,200
3554910000,200
3554920000,200
3555710000,200
3555720000,200
3556510000,200
3556520000,200
3557310000,200
3557320000,200
3558110000,200
3558120000,200
3558910000,200
3558920000,200
3559710000,200
3559720000,200
3560510000,200
3560510000,200
3561310000,200
3561320000,200
3562110000,200
3562120000,200
3562910000,200
3562920000,200
3563710000,200
3563710000,200
3564510000,200
3564520000,200
3565310000,200
3565310000,200
3566110000,200
3566120000,200
3566910000,200
3566910000,200
3567710000,200
3567710000,200
3568510000,200
3568520000,200
3569310000,200
3569320000,200
3570110000,200
3570120000,200
3570910000,200
3570920000,200
3571710000,200
3571710000,200
3572510000,200
3572520000,200
3573310000,200
3573320000,200
3574110000,200
3574120000,200
3574910000,200
3574920000,200
3575710000,200
3575720000,200
3576510000,200
3576520000,200
3577320000,200
3577320000,200
3578110000,200
3578120000,200
3578910000,200
3578920000,200
3579710000,200
3579720000,200
3580510000,200
3580520000,200
3581310000,200
3581320000,200
3582110000,200
3582120000,200
3582910000,200
3582920000,200
3583710000,200
3583720000,200
3584510000,200
3584510000,200
3585310000,200
3585320000,200
3586110000,200
3586120000,200
3586910000,200
