timestamp_us,status
6771890000,200
6771900000,200
6772700000,200
6772700000,200
6773500000,200
6773500000,200
6774300000,200
6774300000,200
6775090000,200
6775100000,200
6775900000,200
6775900000,200
6776700000,200
6776700000,200
6777500000,200
6777500000,200
6778290000,200
6778300000,200
6779100000,200
6779100000,200
6779900000,200
6779900000,200
6780700000,200
6780700000,200
6781500000,200
6781500000,200
6782300000,200
6782300000,200
6783090000,200
6783100000,200
6783900000,200
6783900000,200
6784700000,200
6784700000,200
6785500000,200
6785500000,200
6786300000,200
6786300000,200
6787100000,200
6787100000,200
6787900000,200
6787900000,200
6788700000,200
6788700000,200
6789500000,200
6789500000,200
6790300000,200
6790390000,200
6791090000,200
6791100000,200
6791900000,200
6791900000,200
6792700000,200
6792700000,200
6793500000,200
6793500000,200
6794300000,200
6794300000,200
6795100000,200
6795100000,200
6795900000,200
6795900000,200
6796700000,200
6796700000,200
6797500000,200
6797500000,200
6798290000,200
6798300000,200
6799090000,200
6799100000,200
6799900000,200
6799900000,200
6800700000,200
6800700000,200
6801500000,200
6801590000,200
6802300000,200
6802300000,200
6803100000,200
6803100000,200
6803900000,200
6803900000,200
6804700000,200
6804700000,200
6805500000,200
6805500000,200
6806290000,200
6806300000,200
6807100000,200
6807100000,200
6807900000,200
6807900000,200
6808700000,200
6808700000,200
6809500000,200
6809500000,200
6810300000,200
6810300000,200
6811100000,200
6811100000,200
6811900000,200
6811900000,200
6812690000,200
6812700000,200
6813490000,200
6813500000,200
6814290000,200
6814300000,200
6815090000,200
6815100000,200
6815890000,200
6815900000,200
